id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
924,Protonemata,1846,1855,NULL,NULL,NULL,NULL,NULL,NULL
925,Protonemata Mature Plant Presence,1847,1854,NULL,NULL,NULL,NULL,NULL,NULL
926,Protonemata Mature Plant Presence Plant Primarily Protonemata,1848,1849,NULL,NULL,NULL,0,0,1
927,Protonemata Mature Plant Presence Protonemata Ephemeral,1850,1851,NULL,NULL,NULL,0,0,1
928,Protonemata Mature Plant Presence Protonemata Peristent,1852,1853,NULL,NULL,NULL,0,0,1
929,Seta,1856,1897,NULL,NULL,NULL,NULL,NULL,NULL
930,Seta Color,1857,1862,NULL,NULL,NULL,NULL,NULL,NULL
931,Seta Color Brownish,1858,1859,NULL,NULL,NULL,1,1,0
932,Seta Color Hyaline,1860,1861,NULL,NULL,NULL,1,1,0
933,Seta Length,1863,1870,NULL,NULL,NULL,NULL,NULL,NULL
934,Seta Length Long (Capsule Completey Emergent),1864,1865,NULL,NULL,NULL,1,1,0
935,Seta Length Short (Capsule Immersed To Barely Emergent),1866,1867,NULL,NULL,NULL,1,1,0
936,Seta Length Very Long (Several Times Capsule Length),1868,1869,NULL,NULL,NULL,1,1,0
937,Seta Orientation,1871,1882,NULL,NULL,NULL,NULL,NULL,NULL
938,Seta Orientation Bent At Capsule Base,1872,1873,NULL,NULL,NULL,1,1,0
939,Seta Orientation Curved,1874,1875,NULL,NULL,NULL,1,1,0
940,Seta Orientation Cygneous When Wet,1876,1877,NULL,NULL,NULL,1,1,0
941,Seta Orientation Flexuose,1878,1879,NULL,NULL,NULL,1,1,0
942,Seta Orientation Straight,1880,1881,NULL,NULL,NULL,1,1,0
943,Seta Surface,1883,1888,NULL,NULL,NULL,NULL,NULL,NULL
944,Seta Surface Rough,1884,1885,NULL,NULL,NULL,0,0,0
945,Seta Surface Smooth,1886,1887,NULL,NULL,NULL,0,0,0
946,Seta Twisting (Tip To Base),1889,1896,NULL,NULL,NULL,NULL,NULL,NULL
947,Seta Twisting (Tip To Base) Clockwise,1890,1891,NULL,NULL,NULL,0,1,0
948,Seta Twisting (Tip To Base) Counter Clockwise,1892,1893,NULL,NULL,NULL,0,1,0
949,Seta Twisting (Tip To Base) Twisted When Wet - Straight When Dry,1894,1895,NULL,NULL,NULL,1,0,0
950,Sexual Structures,1898,1911,NULL,NULL,NULL,NULL,NULL,NULL
951,Sexual Structures Placement,1899,1910,NULL,NULL,NULL,NULL,NULL,NULL
952,Sexual Structures Placement Archedonia Mostly Basal,1900,1901,NULL,NULL,NULL,0,0,1
953,Sexual Structures Placement Autoicous,1902,1903,NULL,NULL,NULL,0,1,1
954,Sexual Structures Placement Dioicous,1904,1905,NULL,NULL,NULL,0,1,1
955,Sexual Structures Placement Monoicous,1906,1907,NULL,NULL,NULL,0,1,1
956,Sexual Structures Placement Perichaetial Leaf With Awns,1908,1909,NULL,NULL,NULL,0,1,1
957,Spores,1912,1927,NULL,NULL,NULL,NULL,NULL,NULL
958,Spores Number,1913,1918,NULL,NULL,NULL,NULL,NULL,NULL
959,Spores Number Less Than 100,1914,1915,NULL,NULL,NULL,0,0,1
960,Spores Number More Than 100,1916,1917,NULL,NULL,NULL,0,0,1
961,Spores Size,1919,1926,NULL,NULL,NULL,NULL,NULL,NULL
962,Spores Size Large  (Greater Than 100 Microns),1920,1921,NULL,NULL,NULL,0,0,1
963,Spores Size Medium (30 To 100 Microns),1922,1923,NULL,NULL,NULL,0,0,1
964,Spores Size Small (Less Than 30 Microns),1924,1925,NULL,NULL,NULL,0,0,1
965,Sporophyte,1928,1941,NULL,NULL,NULL,NULL,NULL,NULL
966,Sporophyte Orientation,1929,1940,NULL,NULL,NULL,NULL,NULL,NULL
967,Sporophyte Orientation At Branch Tips (Cladocarpous),1930,1931,NULL,NULL,NULL,1,1,0
968,Sporophyte Orientation Lateral,1932,1933,NULL,NULL,NULL,1,1,0
969,Sporophyte Orientation Mostly Acrocarpous,1934,1935,NULL,NULL,NULL,1,1,0
970,Sporophyte Orientation Mostly Pleuricarpous,1936,1937,NULL,NULL,NULL,1,1,0
971,Sporophyte Orientation Terminal,1938,1939,NULL,NULL,NULL,1,1,0
972,Stem Leaf,1942,1979,NULL,NULL,NULL,NULL,NULL,NULL
973,Stem Leaf Apex,1943,1956,NULL,NULL,NULL,NULL,NULL,NULL
974,Stem Leaf Apex Acuminate,1944,1945,NULL,NULL,NULL,1,1,0
975,Stem Leaf Apex Contracted To Setaceous Point,1946,1947,NULL,NULL,NULL,1,1,0
976,Stem Leaf Apex Lanceolate,1948,1949,NULL,NULL,NULL,0,1,0
977,Stem Leaf Apex With Long Point,1950,1951,NULL,NULL,NULL,1,1,0
978,Stem Leaf Apex With Point,1952,1953,NULL,NULL,NULL,1,1,0
979,Stem Leaf Apex Yellow,1954,1955,NULL,NULL,NULL,1,1,0
980,Stem Leaf Border,1957,1960,NULL,NULL,NULL,NULL,NULL,NULL
981,Stem Leaf Border Long Marginal Right-Angled Teeth,1958,1959,NULL,NULL,NULL,0,1,1
982,Stem Leaf Length,1961,1968,NULL,NULL,NULL,NULL,NULL,NULL
983,Stem Leaf Length Greater Than One Half Mm,1962,1963,NULL,NULL,NULL,0,1,0
984,Stem Leaf Length Greater Than Two Mm,1964,1965,NULL,NULL,NULL,1,1,0
985,Stem Leaf Length One To Two Mm,1966,1967,NULL,NULL,NULL,0,1,0
986,Stem Leaf Shape,1969,1974,NULL,NULL,NULL,NULL,NULL,NULL
987,Stem Leaf Shape Ovate,1970,1971,NULL,NULL,NULL,0,1,0
988,Stem Leaf Shape Straight,1972,1973,NULL,NULL,NULL,0,1,0
989,Stem Leaf Surface,1975,1978,NULL,NULL,NULL,NULL,NULL,NULL
990,Stem Leaf Surface Undulate,1976,1977,NULL,NULL,NULL,1,1,1
991,Stem Leaf Margin,1980,1985,NULL,NULL,NULL,NULL,NULL,NULL
992,Stem Leaf Margin Border,1981,1984,NULL,NULL,NULL,NULL,NULL,NULL
993,Stem Leaf Margin Border Present,1982,1983,NULL,NULL,NULL,0,1,1
994,Stem/Branch Ornamentation,1986,2041,NULL,NULL,NULL,NULL,NULL,NULL
995,Stem/Branch Ornamentation Paraphyllia,1987,2030,NULL,NULL,NULL,NULL,NULL,NULL
996,Stem/Branch Ornamentation Paraphyllia Branched,1988,1989,NULL,NULL,NULL,0,1,1
997,Stem/Branch Ornamentation Paraphyllia Cell Bulging,1990,1991,NULL,NULL,NULL,0,0,1
998,Stem/Branch Ornamentation Paraphyllia Ciliate,1992,1993,NULL,NULL,NULL,0,1,1
999,Stem/Branch Ornamentation Paraphyllia Dense,1994,1995,NULL,NULL,NULL,0,1,1
1000,Stem/Branch Ornamentation Paraphyllia Few,1996,1997,NULL,NULL,NULL,0,0,0
1001,Stem/Branch Ornamentation Paraphyllia Filiform,1998,1999,NULL,NULL,NULL,0,1,1
1002,Stem/Branch Ornamentation Paraphyllia Foliose,2000,2001,NULL,NULL,NULL,0,0,0
1003,Stem/Branch Ornamentation Paraphyllia Green,2002,2003,NULL,NULL,NULL,0,1,1
1004,Stem/Branch Ornamentation Paraphyllia Lacinate,2004,2005,NULL,NULL,NULL,0,1,1
1005,Stem/Branch Ornamentation Paraphyllia Lanceolate,2006,2007,NULL,NULL,NULL,0,0,1
1006,Stem/Branch Ornamentation Paraphyllia Linear,2008,2009,NULL,NULL,NULL,0,0,1
1007,Stem/Branch Ornamentation Paraphyllia Low Papillae,2010,2011,NULL,NULL,NULL,0,0,1
1008,Stem/Branch Ornamentation Paraphyllia Mammillose,2012,2013,NULL,NULL,NULL,0,0,1
1009,Stem/Branch Ornamentation Paraphyllia Margin Ciliate,2014,2015,NULL,NULL,NULL,0,0,1
1010,Stem/Branch Ornamentation Paraphyllia Margin Denticulate,2016,2017,NULL,NULL,NULL,0,0,1
1011,Stem/Branch Ornamentation Paraphyllia Margin Serrulate,2018,2019,NULL,NULL,NULL,0,0,1
1012,Stem/Branch Ornamentation Paraphyllia Papillose,2020,2021,NULL,NULL,NULL,0,0,1
1013,Stem/Branch Ornamentation Paraphyllia Papillose Over Lumen,2022,2023,NULL,NULL,NULL,0,0,1
1014,Stem/Branch Ornamentation Paraphyllia Paraphyllia Cell Smooth,2024,2025,NULL,NULL,NULL,0,0,1
1015,Stem/Branch Ornamentation Paraphyllia Paraphyllia Polymorphous,2026,2027,NULL,NULL,NULL,0,0,1
1016,Stem/Branch Ornamentation Paraphyllia Present,2028,2029,NULL,NULL,NULL,0,1,0
1017,Stem/Branch Ornamentation Pseudoparaphyllia,2031,2040,NULL,NULL,NULL,NULL,NULL,NULL
1018,Stem/Branch Ornamentation Pseudoparaphyllia Filamentous,2032,2033,NULL,NULL,NULL,0,0,1
1019,Stem/Branch Ornamentation Pseudoparaphyllia Foliose,2034,2035,NULL,NULL,NULL,0,0,1
1020,Stem/Branch Ornamentation Pseudoparaphyllia Lanceolate,2036,2037,NULL,NULL,NULL,0,0,1
1021,Stem/Branch Ornamentation Pseudoparaphyllia Present,2038,2039,NULL,NULL,NULL,0,0,1
1022,Stem/Branch/Leaf Ornamentation,2042,2081,NULL,NULL,NULL,NULL,NULL,NULL
1023,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum,2043,2080,NULL,NULL,NULL,NULL,NULL,NULL
1024,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Brownish,2044,2045,NULL,NULL,NULL,1,1,1
1025,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Reddish,2046,2047,NULL,NULL,NULL,1,1,1
1026,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoid Initials In Longitudinal Rows,2048,2049,NULL,NULL,NULL,0,0,1
1027,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoid Initials Not In Rows,2050,2051,NULL,NULL,NULL,0,0,1
1028,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoid Surface Papillose,2052,2053,NULL,NULL,NULL,0,0,1
1029,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoid Surface Smooth,2054,2055,NULL,NULL,NULL,0,0,1
1030,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoids  At Costa Back,2056,2057,NULL,NULL,NULL,0,1,1
1031,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoids On Leaf Tips,2058,2059,NULL,NULL,NULL,0,1,1
1032,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rhizoids Present,2060,2061,NULL,NULL,NULL,1,1,1
1033,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Rusty-Brown,2062,2063,NULL,NULL,NULL,1,1,1
1034,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Stem Rhizoids Axillary,2064,2065,NULL,NULL,NULL,0,1,1
1035,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Stem Rhizoids Below Leaf Insertions,2066,2067,NULL,NULL,NULL,0,0,1
1036,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Tomentose Near Leaf Base,2068,2069,NULL,NULL,NULL,1,1,1
1037,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Tomentum Dense,2070,2071,NULL,NULL,NULL,1,1,1
1038,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Tomentum Near Leaf Apex,2072,2073,NULL,NULL,NULL,1,1,1
1039,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum Tomentum Present,2074,2075,NULL,NULL,NULL,1,1,1
1040,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum White,2076,2077,NULL,NULL,NULL,1,1,1
1041,Stem/Branch/Leaf Ornamentation Rhizoids/Tomentum White-Woolly,2078,2079,NULL,NULL,NULL,1,1,1
1042,Substrate,2082,2143,NULL,NULL,NULL,NULL,NULL,NULL
1043,Substrate Rich Organic,2083,2094,NULL,NULL,NULL,NULL,NULL,NULL
1044,Substrate Rich Organic Animal Remains,2084,2085,NULL,NULL,NULL,1,0,0
1045,Substrate Rich Organic Dung,2086,2087,NULL,NULL,NULL,1,0,0
1046,Substrate Rich Organic Forest Litter,2088,2089,NULL,NULL,NULL,1,0,0
1047,Substrate Rich Organic High N,2090,2091,NULL,NULL,NULL,1,0,0
1048,Substrate Rich Organic Humic Soil,2092,2093,NULL,NULL,NULL,1,0,0
1049,Substrate Rock,2095,2104,NULL,NULL,NULL,NULL,NULL,NULL
1050,Substrate Rock Calcium Rich,2096,2097,NULL,NULL,NULL,1,0,0
1051,Substrate Rock Clear Quartz Crystals,2098,2099,NULL,NULL,NULL,1,0,0
1052,Substrate Rock Limestone,2100,2101,NULL,NULL,NULL,1,0,0
1053,Substrate Rock On Rock,2102,2103,NULL,NULL,NULL,1,0,0
1054,Substrate Soil,2105,2116,NULL,NULL,NULL,NULL,NULL,NULL
1055,Substrate Soil Bare,2106,2107,NULL,NULL,NULL,1,0,0
1056,Substrate Soil Mineral,2108,2109,NULL,NULL,NULL,1,0,0
1057,Substrate Soil Nutrient Rich,2110,2111,NULL,NULL,NULL,1,0,0
1058,Substrate Soil On Soil,2112,2113,NULL,NULL,NULL,1,0,0
1059,Substrate Soil Rock Edge,2114,2115,NULL,NULL,NULL,1,0,0
1060,Substrate Unique Geology,2117,2128,NULL,NULL,NULL,NULL,NULL,NULL
1061,Substrate Unique Geology Calcium Rich,2118,2119,NULL,NULL,NULL,1,0,0
1062,Substrate Unique Geology Copper Rich,2120,2121,NULL,NULL,NULL,1,0,0
1063,Substrate Unique Geology Copper-Sulfate Rich,2122,2123,NULL,NULL,NULL,1,0,0
1064,Substrate Unique Geology Limestone,2124,2125,NULL,NULL,NULL,0,0,0
1065,Substrate Unique Geology Serpentine,2126,2127,NULL,NULL,NULL,1,0,0
1066,Substrate Wood,2129,2142,NULL,NULL,NULL,NULL,NULL,NULL
1067,Substrate Wood Bark,2130,2131,NULL,NULL,NULL,1,0,0
1068,Substrate Wood Branch,2132,2133,NULL,NULL,NULL,1,0,0
1069,Substrate Wood Downed Material,2134,2135,NULL,NULL,NULL,0,0,0
1070,Substrate Wood On Wood,2136,2137,NULL,NULL,NULL,1,0,0
1071,Substrate Wood Trunk,2138,2139,NULL,NULL,NULL,1,0,0
1072,Substrate Wood Twig,2140,2141,NULL,NULL,NULL,1,0,0
