id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
702,Leaf Margin Cell Ornamentation Smooth,1400,1401,NULL,NULL,NULL,0,0,1
703,Leaf Margin Color,1403,1416,NULL,NULL,NULL,NULL,NULL,NULL
704,Leaf Margin Color Darker,1404,1405,NULL,NULL,NULL,1,1,1
705,Leaf Margin Color Differs In Color And Opacity From Medial Lamellae,1406,1407,NULL,NULL,NULL,1,1,1
706,Leaf Margin Color Green,1408,1409,NULL,NULL,NULL,0,1,1
707,Leaf Margin Color Hyaline,1410,1411,NULL,NULL,NULL,1,1,1
708,Leaf Margin Color Paler,1412,1413,NULL,NULL,NULL,0,1,1
709,Leaf Margin Color Yellowish,1414,1415,NULL,NULL,NULL,1,1,1
710,Leaf Margin Layers,1417,1424,NULL,NULL,NULL,NULL,NULL,NULL
711,Leaf Margin Layers Bistratose,1418,1419,NULL,NULL,NULL,0,0,1
712,Leaf Margin Layers Three To Five,1420,1421,NULL,NULL,NULL,0,0,1
713,Leaf Margin Layers Unistratose,1422,1423,NULL,NULL,NULL,0,0,1
714,Leaf Margin Leaf Border Orientation,1425,1470,NULL,NULL,NULL,NULL,NULL,NULL
715,Leaf Margin Leaf Border Orientation Erect When Wet,1426,1427,NULL,NULL,NULL,1,1,1
716,Leaf Margin Leaf Border Orientation Incurved,1428,1429,NULL,NULL,NULL,0,0,0
717,Leaf Margin Leaf Border Orientation Incurved On One Side Only,1430,1431,NULL,NULL,NULL,0,1,1
718,Leaf Margin Leaf Border Orientation Inflexed On One Side,1432,1433,NULL,NULL,NULL,0,1,1
719,Leaf Margin Leaf Border Orientation Infolded,1434,1435,NULL,NULL,NULL,0,1,1
720,Leaf Margin Leaf Border Orientation Inrolled,1436,1437,NULL,NULL,NULL,0,1,1
721,Leaf Margin Leaf Border Orientation Involute,1438,1439,NULL,NULL,NULL,0,1,1
722,Leaf Margin Leaf Border Orientation Involute When Dry,1440,1441,NULL,NULL,NULL,0,1,1
723,Leaf Margin Leaf Border Orientation Involute When Wet,1442,1443,NULL,NULL,NULL,0,1,1
724,Leaf Margin Leaf Border Orientation Leaves Recurved Below,1444,1445,NULL,NULL,NULL,0,1,1
725,Leaf Margin Leaf Border Orientation Margin Revolute,1446,1447,NULL,NULL,NULL,0,1,1
726,Leaf Margin Leaf Border Orientation Margin Reflexed,1448,1449,NULL,NULL,NULL,0,1,1
727,Leaf Margin Leaf Border Orientation Planar Below,1450,1451,NULL,NULL,NULL,0,1,1
728,Leaf Margin Leaf Border Orientation Plane,1452,1453,NULL,NULL,NULL,1,1,1
729,Leaf Margin Leaf Border Orientation Plane When Wet,1454,1455,NULL,NULL,NULL,0,1,1
730,Leaf Margin Leaf Border Orientation Reflexed,1456,1457,NULL,NULL,NULL,0,1,1
731,Leaf Margin Leaf Border Orientation Reflexed Below,1458,1459,NULL,NULL,NULL,0,1,1
732,Leaf Margin Leaf Border Orientation Revolute Below,1460,1461,NULL,NULL,NULL,0,1,1
733,Leaf Margin Leaf Border Orientation Revolute On One Side Only,1462,1463,NULL,NULL,NULL,0,1,1
734,Leaf Margin Leaf Border Orientation Revolute To Near Apex,1464,1465,NULL,NULL,NULL,0,1,1
735,Leaf Margin Leaf Border Orientation Spirally Inrolled,1466,1467,NULL,NULL,NULL,0,1,1
736,Leaf Margin Leaf Border Orientation Wavy Margin,1468,1469,NULL,NULL,NULL,1,1,1
737,Leaf Margin Leaf Margin,1471,1474,NULL,NULL,NULL,NULL,NULL,NULL
